폭염일수,,,,,,,,,,,,,,
지점/지역명 : 전국,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 폭염일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.6,3.9,5.3,0.2,0,0,0,10.1,
2008,0,0,0,0,0.1,0.1,7.1,4.8,0.4,0,0,0,12.5,7
2009,0,0,0,0,0.2,1.5,0.4,2,0.2,0,0,0,4.2,11
2010,0,0,0,0,0,0.8,3.6,8.1,1.4,0,0,0,13.9,6
2011,0,0,0,0,0,0.9,2.8,2.9,0.9,0,0,0,7.5,9
2012,0,0,0,0,0,0.3,6.1,8.6,0,0,0,0,15,4
2013,0,0,0,0,0.2,0.4,4.9,13,0.1,0,0,0,18.5,3
2014,0,0,0,0,1.3,0.2,4.9,1,0,0,0,0,7.4,10
2015,0,0,0,0,0.4,0.6,3.2,5.9,0,0,0,0,10.1,8
2016,0,0,0,0,0,0.2,5.5,16.7,0,0,0,0,22.4,2
2017,0,0,0,0,0.5,1.7,6.4,5.8,0,0,0,0,14.4,5
2018,0,0,0,0.1,0,1.6,15.5,14.3,0,0,0,0,31.5,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
가장 긴 폭염,,,,,,,,,,,,,,
연도,지점,시작일,종료일,지속일수,,,,,,,,,,
2008,대구,2008-07-27,2008-08-07,12,,,,,,,,,,
2009,합천,2009-08-18,2009-08-23,6,,,,,,,,,,
2010,양산시,2010-08-18,2010-08-27,10,,,,,,,,,,
2011,대구·포항,2011-08-11,2011-08-16,6,,,,,,,,,,
2012,김해시·밀양,2012-07-23,2012-08-12,21,,,,,,,,,,
2013,대구·양산시,2013-08-03,2013-08-22,20,,,,,,,,,,
2014,대구,2014-07-19,2014-07-25,7,,,,,,,,,,
2015,경주시,2015-07-25,2015-08-10,17,,,,,,,,,,
2016,합천,2016-07-23,2016-08-25,34,,,,,,,,,,
2017,경주시,2017-07-16,2017-07-24,9,,,,,,,,,,
2018,금산,2018-07-11,2018-08-16,37,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
가장 빠른/가장 늦은 폭염,,,,,,,,,,,,,,
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜,,,,,,,,,,
2008,강릉,2008-05-03,고창·고창군·광주·남원·밀양·산청·순창군·순천·임실·전주·정읍·주암·진주,2008-09-19,,,,,,,,,,
2009,밀양,2009-05-08,대구·합천,2009-09-07,,,,,,,,,,
2010,영월,2010-06-06,경주시·대구·밀양·순천·영천·제주·주암·포항·합천,2010-09-21,,,,,,,,,,
2011,전주,2011-06-11,광양시·광주·남원·순창군·순천·완도·임실·장흥·주암·해남,2011-09-17,,,,,,,,,,
2012,의령군,2012-05-27,김해시·동두천·문산·수원·파주·홍천,2012-08-27,,,,,,,,,,
2013,대구·울산,2013-05-13,전주,2013-09-18,,,,,,,,,,
2014,경주시·영덕,2014-05-24,광양시,2014-08-26,,,,,,,,,,
2015,강릉·거제·경주시·광양시·광주·구미·김해시·남해·대구·대구(기)·마산·밀양·북강릉·북창원·산청·상주·안동·양산시·영덕·영월·영천·의령군·의성·진주·창원·창원시·청송군·함양군·합천,2015-05-26,대전·수원·영월·영주·충주·홍천,2015-08-18,,,,,,,,,,
2016,홍천,2016-05-22,광주,2016-09-04,,,,,,,,,,
2017,강릉·북강릉·속초·울진·의령군·합천,2017-05-19,밀양,2017-08-29,,,,,,,,,,
2018,울진·의성·포항,2018-04-21,제주,2018-08-31,,,,,,,,,,
